,0
0,Asian russia
1,Mongolia
2,Kazakhstan
3,China
4,Bhutan
5,Myanmar
6,Thailand
7,Cambodia
8,Vietnam
9,Brunei
10,Malaysia
11,Singapore
12,Indonesia
13,East Timor
14,Philippines
15,Hong Kong
16,Taiwan
17,North Korea
18,South Korea
19,Japan
20,Kyrgyzstan
21,Tajikistan
22,Nepal
23,Bangladesh
24,India
25,Sri Lanka
26,Maldives
27,Pakistan
28,Afghanistan
29,Iran
30,Turkmenistan
31,Uzbekistan
32,UAE
33,Oman
34,Yemen
35,Saudi Arabia
36,Qatar
37,Bahrain
38,Kuwait
39,Iraq
40,Jordan
41,Lebanon
42,Palestine
43,Syria
44,Turkey
45,Armenia
46,Azerbaijan
47,Georgia
48,Cyprus
